Epoch 1: ,validation loss 0.06441693063735962, accuracy 0.06976
Epoch 2: ,validation loss 0.05947630434036255, accuracy 0.12296
Epoch 3: ,validation loss 0.05646490665435791, accuracy 0.1512
Epoch 4: ,validation loss 0.053201660423278806, accuracy 0.19216
Epoch 5: ,validation loss 0.05117382019042969, accuracy 0.21968
Epoch 6: ,validation loss 0.050081351013183596, accuracy 0.24328
Epoch 7: ,validation loss 0.049269660911560056, accuracy 0.25688
Epoch 8: ,validation loss 0.05062286931991577, accuracy 0.25696
Epoch 9: ,validation loss 0.05255579975128174, accuracy 0.25688
Epoch 10: ,validation loss 0.05546677583694458, accuracy 0.25712
Epoch 11: ,validation loss 0.061887386436462404, accuracy 0.2492
Epoch 12: ,validation loss 0.06774099569320678, accuracy 0.24688
Epoch 13: ,validation loss 0.07612566272735596, accuracy 0.24784
Epoch 14: ,validation loss 0.08541844493865967, accuracy 0.24088
Epoch 15: ,validation loss 0.09222926691055298, accuracy 0.234
Epoch 16: ,validation loss 0.09543277019500733, accuracy 0.23336
Epoch 17: ,validation loss 0.1078676071548462, accuracy 0.23736
Epoch 18: ,validation loss 0.11630103263854981, accuracy 0.22136
Epoch 19: ,validation loss 0.11545056907653808, accuracy 0.23464
Epoch 20: ,validation loss 0.12233723861694336, accuracy 0.22632
Epoch 21: ,validation loss 0.1303577282333374, accuracy 0.23072
Epoch 22: ,validation loss 0.144873274269104, accuracy 0.22152
Epoch 23: ,validation loss 0.14471026912689208, accuracy 0.22832
Epoch 24: ,validation loss 0.15169422504425048, accuracy 0.23176
Epoch 25: ,validation loss 0.14902031986236572, accuracy 0.2264
Epoch 26: ,validation loss 0.1558727014160156, accuracy 0.23128
Epoch 27: ,validation loss 0.15233268348693849, accuracy 0.23184
Epoch 28: ,validation loss 0.16331072330474852, accuracy 0.23232
Epoch 29: ,validation loss 0.16911904525756835, accuracy 0.23064
Epoch 30: ,validation loss 0.16435686378479003, accuracy 0.23192
Epoch 31: ,validation loss 0.17366594654083253, accuracy 0.22248
Epoch 32: ,validation loss 0.17595367877960205, accuracy 0.22968
Epoch 33: ,validation loss 0.18470610980987548, accuracy 0.22904
Epoch 34: ,validation loss 0.19530095909118653, accuracy 0.2252
Epoch 35: ,validation loss 0.20689812599182128, accuracy 0.22872
Epoch 36: ,validation loss 0.2033270245361328, accuracy 0.22112
Epoch 37: ,validation loss 0.19299815380096436, accuracy 0.23
Epoch 38: ,validation loss 0.205553740234375, accuracy 0.22336
Epoch 39: ,validation loss 0.20921729293823244, accuracy 0.22608
Epoch 40: ,validation loss 0.19778678115844728, accuracy 0.22288
Epoch 41: ,validation loss 0.20727265754699706, accuracy 0.22312
Epoch 42: ,validation loss 0.2118792677307129, accuracy 0.23096
Epoch 43: ,validation loss 0.21398569107055665, accuracy 0.22728
Epoch 44: ,validation loss 0.2264599993133545, accuracy 0.22744
Epoch 45: ,validation loss 0.21582668338775635, accuracy 0.22912
Epoch 46: ,validation loss 0.23695642333984376, accuracy 0.226
Epoch 47: ,validation loss 0.22709127769470214, accuracy 0.22688
Epoch 48: ,validation loss 0.25078881896972655, accuracy 0.234
Epoch 49: ,validation loss 0.23366696228027345, accuracy 0.22712
Epoch 50: ,validation loss 0.24381799682617186, accuracy 0.2308
Epoch 51: ,validation loss 0.2377606960296631, accuracy 0.22696
Epoch 52: ,validation loss 0.2480093167114258, accuracy 0.21912
Epoch 53: ,validation loss 0.2418841709136963, accuracy 0.21936
Epoch 54: ,validation loss 0.25041416557312013, accuracy 0.2192
Epoch 55: ,validation loss 0.261421763381958, accuracy 0.22464
Epoch 56: ,validation loss 0.2481086325073242, accuracy 0.21616
Epoch 57: ,validation loss 0.25545971633911135, accuracy 0.22112
Epoch 58: ,validation loss 0.26145236450195314, accuracy 0.22752
Epoch 59: ,validation loss 0.2627473818206787, accuracy 0.22008
Epoch 60: ,validation loss 0.28623908782958984, accuracy 0.22552
Epoch 61: ,validation loss 0.26994426567077634, accuracy 0.2244
Epoch 62: ,validation loss 0.27739860107421876, accuracy 0.22776
Epoch 63: ,validation loss 0.270109542388916, accuracy 0.22296
Epoch 64: ,validation loss 0.2900047756958008, accuracy 0.228
Epoch 65: ,validation loss 0.30056983222961425, accuracy 0.22536
Epoch 66: ,validation loss 0.2942879634857178, accuracy 0.22008
Epoch 67: ,validation loss 0.3099194469451904, accuracy 0.22064
Epoch 68: ,validation loss 0.3207023585510254, accuracy 0.22688
Epoch 69: ,validation loss 0.3197383304595947, accuracy 0.2224
Epoch 70: ,validation loss 0.2984968778991699, accuracy 0.22008
Epoch 71: ,validation loss 0.3041364616394043, accuracy 0.21856
Epoch 72: ,validation loss 0.3289357466125488, accuracy 0.21536
Epoch 73: ,validation loss 0.33453653518676757, accuracy 0.22112
Epoch 74: ,validation loss 0.3268933740234375, accuracy 0.22584
Epoch 75: ,validation loss 0.339319076385498, accuracy 0.21832
Epoch 76: ,validation loss 0.3239896342468262, accuracy 0.2164
Epoch 77: ,validation loss 0.34361126892089844, accuracy 0.2268
Epoch 78: ,validation loss 0.36045849151611326, accuracy 0.21928
Epoch 79: ,validation loss 0.3649828586578369, accuracy 0.22904
Epoch 80: ,validation loss 0.3490230591583252, accuracy 0.21968
Epoch 81: ,validation loss 0.3955687060546875, accuracy 0.22328
Epoch 82: ,validation loss 0.3835144602203369, accuracy 0.2244
Epoch 83: ,validation loss 0.39094941543579104, accuracy 0.22552
Epoch 84: ,validation loss 0.37910328201293947, accuracy 0.22096
Epoch 85: ,validation loss 0.3840675467681885, accuracy 0.22632
Epoch 86: ,validation loss 0.36487838638305664, accuracy 0.22368
Epoch 87: ,validation loss 0.3650218288421631, accuracy 0.222
Epoch 88: ,validation loss 0.3936336701965332, accuracy 0.23384
Epoch 89: ,validation loss 0.38225498573303224, accuracy 0.22768
Epoch 90: ,validation loss 0.4123639263916016, accuracy 0.22048
Epoch 91: ,validation loss 0.4018090396118164, accuracy 0.22256
Epoch 92: ,validation loss 0.415353212890625, accuracy 0.22296
Epoch 93: ,validation loss 0.43619103424072264, accuracy 0.22344
Epoch 94: ,validation loss 0.43735684707641603, accuracy 0.22408
Epoch 95: ,validation loss 0.40821947624206545, accuracy 0.2192
Epoch 96: ,validation loss 0.43924707336425783, accuracy 0.22776
Epoch 97: ,validation loss 0.46245905181884767, accuracy 0.22528
Epoch 98: ,validation loss 0.4359958055114746, accuracy 0.21992
Epoch 99: ,validation loss 0.4381933784484863, accuracy 0.22328
Epoch 100: ,validation loss 0.4753487181091309, accuracy 0.22216
Epoch 101: ,validation loss 0.4443158483886719, accuracy 0.21872
Epoch 102: ,validation loss 0.4428688403320313, accuracy 0.21624
Epoch 103: ,validation loss 0.5110205551147461, accuracy 0.23216
Epoch 104: ,validation loss 0.48589349853515623, accuracy 0.22336
Epoch 105: ,validation loss 0.4674814613342285, accuracy 0.22288
Epoch 106: ,validation loss 0.467403065032959, accuracy 0.22208
Epoch 107: ,validation loss 0.4824955627441406, accuracy 0.2196
Epoch 108: ,validation loss 0.5123217167663574, accuracy 0.22432
Epoch 109: ,validation loss 0.5055105746459961, accuracy 0.22344
Epoch 110: ,validation loss 0.4773007945251465, accuracy 0.22216
Epoch 111: ,validation loss 0.5051357431030273, accuracy 0.22656
Epoch 112: ,validation loss 0.533346764831543, accuracy 0.226
Epoch 113: ,validation loss 0.5371021224975586, accuracy 0.22992
Epoch 114: ,validation loss 0.5356764260864257, accuracy 0.22928
Epoch 115: ,validation loss 0.5258345227050781, accuracy 0.22136
Epoch 116: ,validation loss 0.5607305137634278, accuracy 0.2228
Epoch 117: ,validation loss 0.5771314543151855, accuracy 0.22848
Epoch 118: ,validation loss 0.5953812339782715, accuracy 0.22784
Epoch 119: ,validation loss 0.6386016716003418, accuracy 0.23016
Epoch 120: ,validation loss 0.5836028504943848, accuracy 0.226
Epoch 121: ,validation loss 0.5924608824157714, accuracy 0.2296
Epoch 122: ,validation loss 0.5738934254455567, accuracy 0.22256
Epoch 123: ,validation loss 0.5484103327941895, accuracy 0.21632
Epoch 124: ,validation loss 0.6406895712280274, accuracy 0.22
Epoch 125: ,validation loss 0.5920683380126953, accuracy 0.22712
Epoch 126: ,validation loss 0.599576484222412, accuracy 0.23072
Epoch 127: ,validation loss 0.6301154864501953, accuracy 0.22224
Epoch 128: ,validation loss 0.6473874481201172, accuracy 0.21672
Epoch 129: ,validation loss 0.6691752932739258, accuracy 0.22176
Epoch 130: ,validation loss 0.6198539460754394, accuracy 0.22344
