FL Paper Experiment | INFO flwr 2024-03-20 14:47:54,009 | main.py:25 | 
================================================================================
CIFAR10 - FedAvg(accept_failures=True) - IID Distribution has started
================================================================================
FL Paper Experiment | INFO flwr 2024-03-20 14:47:54,010 | app.py:178 | Starting Flower simulation, config: ServerConfig(num_rounds=100, round_timeout=None)
FL Paper Experiment | INFO flwr 2024-03-20 14:47:56,958 | app.py:213 | Flower VCE: Ray initialized with resources: {'node:192.168.42.122': 1.0, 'node:__internal_head__': 1.0, 'object_store_memory': 4614810009.0, 'memory': 9229620020.0, 'CPU': 4.0}
FL Paper Experiment | INFO flwr 2024-03-20 14:47:56,958 | app.py:219 | Optimize your simulation with Flower VCE: https://flower.dev/docs/framework/how-to-run-simulations.html
FL Paper Experiment | INFO flwr 2024-03-20 14:47:56,959 | app.py:242 | Flower VCE: Resources for each Virtual Client: {'num_cpus': 3, 'num_gpus': 0}
FL Paper Experiment | INFO flwr 2024-03-20 14:47:56,977 | app.py:288 | Flower VCE: Creating VirtualClientEngineActorPool with 1 actors
FL Paper Experiment | INFO flwr 2024-03-20 14:47:56,977 | server.py:89 | Initializing global parameters
FL Paper Experiment | INFO flwr 2024-03-20 14:47:56,977 | server.py:272 | Using initial parameters provided by strategy
FL Paper Experiment | INFO flwr 2024-03-20 14:47:56,977 | server.py:91 | Evaluating initial parameters
FL Paper Experiment | INFO flwr 2024-03-20 14:47:56,978 | server.py:104 | FL starting
FL Paper Experiment | DEBUG flwr 2024-03-20 14:47:56,978 | server.py:222 | fit_round 1: strategy sampled 10 clients (out of 10)
FL Paper Experiment | DEBUG flwr 2024-03-20 14:53:02,523 | server.py:236 | fit_round 1 received 10 results and 0 failures
FL Paper Experiment | WARNING flwr 2024-03-20 14:53:05,323 | fedavg.py:250 | No fit_metrics_aggregation_fn provided
FL Paper Experiment | DEBUG flwr 2024-03-20 14:53:05,326 | server.py:173 | evaluate_round 1: strategy sampled 10 clients (out of 10)
FL Paper Experiment | DEBUG flwr 2024-03-20 14:53:34,105 | server.py:187 | evaluate_round 1 received 10 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-20 14:53:34,106 | server.py:222 | fit_round 2: strategy sampled 10 clients (out of 10)
FL Paper Experiment | DEBUG flwr 2024-03-20 14:58:46,322 | server.py:236 | fit_round 2 received 10 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-20 14:58:48,980 | server.py:173 | evaluate_round 2: strategy sampled 10 clients (out of 10)
FL Paper Experiment | DEBUG flwr 2024-03-20 14:59:18,335 | server.py:187 | evaluate_round 2 received 10 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-20 14:59:18,336 | server.py:222 | fit_round 3: strategy sampled 10 clients (out of 10)
FL Paper Experiment | DEBUG flwr 2024-03-20 15:04:38,762 | server.py:236 | fit_round 3 received 10 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-20 15:04:41,556 | server.py:173 | evaluate_round 3: strategy sampled 10 clients (out of 10)
FL Paper Experiment | DEBUG flwr 2024-03-20 15:05:10,227 | server.py:187 | evaluate_round 3 received 10 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-20 15:05:10,228 | server.py:222 | fit_round 4: strategy sampled 10 clients (out of 10)
FL Paper Experiment | DEBUG flwr 2024-03-20 15:10:22,448 | server.py:236 | fit_round 4 received 10 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-20 15:10:25,079 | server.py:173 | evaluate_round 4: strategy sampled 10 clients (out of 10)
FL Paper Experiment | DEBUG flwr 2024-03-20 15:10:53,509 | server.py:187 | evaluate_round 4 received 10 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-20 15:10:53,510 | server.py:222 | fit_round 5: strategy sampled 10 clients (out of 10)
FL Paper Experiment | DEBUG flwr 2024-03-20 15:16:07,003 | server.py:236 | fit_round 5 received 10 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-20 15:16:09,497 | server.py:173 | evaluate_round 5: strategy sampled 10 clients (out of 10)
FL Paper Experiment | DEBUG flwr 2024-03-20 15:16:37,614 | server.py:187 | evaluate_round 5 received 10 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-20 15:16:37,615 | server.py:222 | fit_round 6: strategy sampled 10 clients (out of 10)
